scenarioId,incidentId,scenarioType,operationalNarrative,expectedReasoningFocus,primarySourceSystems,replayWindowStart,replayWindowEnd
SCN-20260621,INC-GEN-SCN-20260621,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T01:40:00Z,2026-06-10T03:40:00Z
SCN-20260622,INC-GEN-SCN-20260622,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T01:50:00Z,2026-06-10T03:50:00Z
SCN-20260623,INC-GEN-SCN-20260623,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T02:00:00Z,2026-06-10T04:00:00Z
SCN-20260624,INC-GEN-SCN-20260624,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T02:10:00Z,2026-06-10T04:10:00Z
SCN-20260625,INC-GEN-SCN-20260625,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T02:20:00Z,2026-06-10T04:20:00Z
SCN-20260626,INC-GEN-SCN-20260626,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T02:30:00Z,2026-06-10T04:30:00Z
SCN-20260627,INC-GEN-SCN-20260627,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T02:40:00Z,2026-06-10T04:40:00Z
SCN-20260628,INC-GEN-SCN-20260628,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T02:50:00Z,2026-06-10T04:50:00Z
SCN-20260629,INC-GEN-SCN-20260629,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T03:00:00Z,2026-06-10T05:00:00Z
SCN-20260630,INC-GEN-SCN-20260630,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T03:10:00Z,2026-06-10T05:10:00Z
SCN-20260631,INC-GEN-SCN-20260631,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T03:20:00Z,2026-06-10T05:20:00Z
SCN-20260632,INC-GEN-SCN-20260632,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T03:30:00Z,2026-06-10T05:30:00Z
SCN-20260633,INC-GEN-SCN-20260633,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T03:40:00Z,2026-06-10T05:40:00Z
SCN-20260634,INC-GEN-SCN-20260634,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T03:50:00Z,2026-06-10T05:50:00Z
SCN-20260635,INC-GEN-SCN-20260635,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T04:00:00Z,2026-06-10T06:00:00Z
SCN-20260636,INC-GEN-SCN-20260636,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T04:10:00Z,2026-06-10T06:10:00Z
SCN-20260637,INC-GEN-SCN-20260637,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T04:20:00Z,2026-06-10T06:20:00Z
SCN-20260638,INC-GEN-SCN-20260638,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T04:30:00Z,2026-06-10T06:30:00Z
SCN-20260639,INC-GEN-SCN-20260639,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T04:40:00Z,2026-06-10T06:40:00Z
SCN-20260640,INC-GEN-SCN-20260640,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T04:50:00Z,2026-06-10T06:50:00Z
SCN-20260641,INC-GEN-SCN-20260641,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T05:00:00Z,2026-06-10T07:00:00Z
SCN-20260642,INC-GEN-SCN-20260642,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T05:10:00Z,2026-06-10T07:10:00Z
SCN-20260643,INC-GEN-SCN-20260643,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T05:20:00Z,2026-06-10T07:20:00Z
SCN-20260644,INC-GEN-SCN-20260644,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T05:30:00Z,2026-06-10T07:30:00Z
SCN-20260645,INC-GEN-SCN-20260645,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T05:40:00Z,2026-06-10T07:40:00Z
SCN-20260646,INC-GEN-SCN-20260646,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T05:50:00Z,2026-06-10T07:50:00Z
SCN-20260647,INC-GEN-SCN-20260647,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T06:00:00Z,2026-06-10T08:00:00Z
SCN-20260648,INC-GEN-SCN-20260648,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T06:10:00Z,2026-06-10T08:10:00Z
SCN-20260649,INC-GEN-SCN-20260649,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T06:20:00Z,2026-06-10T08:20:00Z
SCN-20260650,INC-GEN-SCN-20260650,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T06:30:00Z,2026-06-10T08:30:00Z
SCN-20260651,INC-GEN-SCN-20260651,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T06:40:00Z,2026-06-10T08:40:00Z
SCN-20260652,INC-GEN-SCN-20260652,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T06:50:00Z,2026-06-10T08:50:00Z
SCN-20260653,INC-GEN-SCN-20260653,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T07:00:00Z,2026-06-10T09:00:00Z
SCN-20260654,INC-GEN-SCN-20260654,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T07:10:00Z,2026-06-10T09:10:00Z
SCN-20260655,INC-GEN-SCN-20260655,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T07:20:00Z,2026-06-10T09:20:00Z
SCN-20260656,INC-GEN-SCN-20260656,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T07:30:00Z,2026-06-10T09:30:00Z
SCN-20260657,INC-GEN-SCN-20260657,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T07:40:00Z,2026-06-10T09:40:00Z
SCN-20260658,INC-GEN-SCN-20260658,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T07:50:00Z,2026-06-10T09:50:00Z
